"","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","gender","S","DD","D_pred"
"205",3,2,0,0,0,0,0,1.5,"M",5,"1",10.9408533824507
"206",2.5,0,0,0,0,0,0,0.5,"M",2.5,"0",3.88557341538926
"207",2.5,0,1.5,0,0,0,1.5,0.5,"M",5.5,"0",11.3152170315232
"208",3,1.5,2,0,0,0,1.5,1,"M",8,"1",14.2882558233723
"209",2.5,1,1.5,0,0,0,1.5,0.5,"M",6.5,"0",11.7627569778758
"210",2,1.5,1.5,0,0,0,1.5,0.5,"M",6.5,"0",12.52302989551
"211",1,1.5,1.5,0,0,0,1.5,0.5,"M",5.5,"0",9.69502719111405
"212",2,0,0,0,0,0,0,0,"W",2,"0",4.02645622081655
"213",1.5,0,0,0,0,0,0,0,"W",1.5,"0",2.33134404923356
"214",1,0,1.5,0,0,0,0,0,"W",2.5,"0",5.82137675306421
"215",1,0,1.5,0,0,0,0,0,"W",2.5,"0",4.31854738142437
"216",3,0,0,0,0,0,1,0,"M",4,"0",6.42102352640512
"217",1,0,0,0,0,0,0,0,"M",1,"0",2.45058452561295
"218",1,0,0,0,0,0,0,0,"M",1,"0",1.8698428634215
"219",0,0,0,0,0,0,0,0,"M",0,"0",0
"220",3,3,1.5,3,3,0,3,3,"M",16.5,"1",29.565340504259
"221",2.5,3,1.5,2.5,3,0.5,0.5,3,"M",13.5,"1",25.2199083876617
"222",3,1,1.5,1,0.5,0,1.5,1.5,"M",8.5,"1",15.1660299119007
"223",2,2.5,2,3,2.5,2,2.5,2.5,"M",16.5,"1",31.3436037578519
"224",1.5,1,0.5,0.5,0.5,0,0,0.5,"M",4,"0",7.66022609999741
"225",0,0,0,0,0,0,0,0,"M",0,"0",0
"226",2,0.5,0,0,0,0,0.5,1,"M",3,"1",6.32449846594542
"227",1.5,1.5,0.5,1,0.5,0,1,0.5,"M",6,"0",10.5605355610041
"228",2,2.5,2,2,2,1.5,1,1.5,"M",13,"1",24.6830886775586
"229",0.5,0,0,0,0,0,0,0.5,"M",0.5,"0",0.756891543146061
"230",1.5,2,1,1.5,2.5,0.5,1.5,1,"W",10.5,"1",19.6220318535495
"231",2,1,1,2,0,0.5,0,0.5,"M",6.5,"0",12.7816172128391
"232",0,0,0,0,0,0,0,0.5,"M",0,"0",0
"233",2,0,1,0,0,0,0.5,1,"M",3.5,"1",6.61298928943107
"234",0,0,0,0,0,0,0,0,"M",0,"0",0
"235",0.5,0,0,0,0,1,0.5,0.5,"M",2,"0",3.70112295624116
"236",3,1,1,0.5,0.5,1,0,1,"M",7,"1",11.8099296916815
"237",3,0,0,0,3,0,0,0,"W",6,"0",9.09252992185998
"238",0,0,0,0,3,0,0,1.5,"M",3,"1",4.55118066298362
"239",0,0,0,0,0,0,1.5,1.5,"M",1.5,"1",2.33134404923356
"240",0,0,0,0,3,0,0,0,"M",3,"0",5.6095285902645
"241",3,0,0,0,3,0,0,0,"M",6,"0",10.7023724296919
"242",1.5,0,0,0,0,0,1.5,1.5,"M",3,"1",5.49384027845899
"243",1.5,0,0,0,0,0,0,0,"W",1.5,"0",2.27067462943818
"244",3,0,0,0,0,0,0,1.5,"M",3,"1",4.55118066298362
"245",0,0,0,0,0,0,0,1.5,"M",0,"1",0
"246",0,0,0,0,0,1.5,0,0,"W",1.5,"0",2.27067462943818
"247",3,0,0,0,0,3,3,3,"M",9,"1",17.0273648881428
"248",3,0,0,0,0,3,3,1.5,"M",9,"1",16.5557909341823
"249",2,1,0,0,0,0,0.5,0.5,"M",3.5,"0",7.06275815019512
"250",1,0,0,0,0,0,0,0.5,"M",1,"0",1.51378308629212
"251",2,0.5,0,0,0,0,0,1.5,"M",2.5,"1",4.10687042431147
"252",2.5,0.5,0,0,1,0,1,1.5,"M",5,"1",10.4136411885812
"253",0,0,0,0,0,0,0,0,"W",0,"0",0
"254",3,2.5,0,0.5,1,0,1,2.5,"M",8,"1",16.9586031564013
"255",3,3,1,1,2,0,2.5,3,"M",12.5,"1",21.7456908109178
"256",2.5,1,0,1,0,0,2.5,1,"M",7,"1",12.6834116607987
"257",2,0,0,1,0,0,2.5,1,"M",5.5,"1",10.6710877076111
"258",3,1,0,1.5,0,0,2,1.5,"M",7.5,"1",14.1122431428908
"259",2,0,0,0,0,0,1,1,"M",3,"1",6.91439716163417
"260",2,0,0,0,0,0,3,3,"M",5,"1",8.40237382531011
"261",2.5,1.5,0,1.5,0,0,3,1.5,"M",8.5,"1",17.476791007608
"262",2,2,0,1.5,0,0,2,1.5,"M",7.5,"1",13.0939605787058
"263",2,2,0,0,0,0,1,1.5,"M",5,"1",9.83451637110067
"264",2,0,0,0,0,0,0,1,"W",2,"1",3.02756617258424
"265",1,0,0,0,0,0,0,0,"W",1,"0",1.51706022099454
"266",2,0.5,0,0,0,0,0.5,1.5,"M",3,"1",6.66467464957609
"267",1.5,0,0,0,0,0,0.5,1.5,"M",2,"1",3.5818789782101
"268",2.5,0.5,0,0,0,0,0.5,1.5,"M",3.5,"1",7.33111252114956
"269",2,0,0,0,0,0,2.5,1.5,"M",4.5,"1",6.89291644804171
"270",2,1,0,0,0,0,0.5,1.5,"M",3.5,"1",7.06275815019512
"271",0,0,0,0,0,0,0,0,"W",0,"0",0
"272",0.5,0,0,0,0,0,0,1,"M",0.5,"1",0.75853011049727
"273",1,0,0,0,0,0,0.5,1.5,"M",1.5,"1",3.45719858081709
"274",2.5,0,0,0,0,0,0,1,"M",2.5,"1",4.67460715855375
"275",0.5,0,0,0,0,0,0,0.5,"W",0.5,"0",1.00661405520414
"276",3,0,0,0,0,0,0,0.5,"M",3,"0",4.66268809846711
"277",2,0,0,0,0,0,0,0.5,"M",2,"0",4.29099992928958
"278",2,1,0,0,0,0,0,0.5,"M",3,"0",4.58179553873995
